@relation 'stateData-weka.filters.unsupervised.attribute.Remove-R1,24-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute living_ghost1 {True,False}
@attribute living_ghost2 {True,False}
@attribute living_ghost3 {True,False}
@attribute living_ghost4 {True,False}
@attribute ghost_posX1 numeric
@attribute ghost_posY1 numeric
@attribute ghost_posX2 numeric
@attribute ghost_posY2 numeric
@attribute ghost_posX3 numeric
@attribute ghost_posY3 numeric
@attribute ghost_posX4 numeric
@attribute ghost_posY4 numeric
@attribute ghost_dir1 {North,South,West,East,Stop}
@attribute ghost_dir2 {North,South,West,East,Stop}
@attribute ghost_dir3 {North,South,West,East,Stop}
@attribute ghost_dir4 {North,South,West,East,Stop}
@attribute ghost_dist1 numeric
@attribute ghost_dist2 numeric
@attribute ghost_dist3 numeric
@attribute ghost_dist4 numeric
@attribute dot_dist numeric
@attribute score numeric
@attribute pacman_posX numeric
@attribute pacman_posY numeric
@attribute pacman_dir {North,South,West,East,Stop}
@attribute pacman_action {North,South,West,East,Stop}

@data
True,True,True,True,0.666667,0.555556,0.4,0.916667,0.5,0.5,0.375,1,Stop,Stop,Stop,Stop,0.75,0.384615,0.206897,0.111111,0.4,0.031169,0.44,0.466667,Stop,North
True,True,True,True,0.666667,0.555556,0.4,0.916667,0.5,0.5,0.375,1,Stop,Stop,Stop,Stop,0.8125,0.346154,0.241379,0.083333,0.45,0.02987,0.44,0.533333,North,North
True,True,True,True,0.666667,0.555556,0.4,0.916667,0.5,0.5,0.375,1,Stop,Stop,Stop,Stop,0.875,0.307692,0.275862,0.055556,0.5,0.028571,0.44,0.6,North,East
True,True,True,False,0.666667,0.555556,0.4,0.916667,0.5,0.5,0.125,0,Stop,Stop,Stop,Stop,0.9375,0.346154,0.241379,0,0.45,0.287013,0.48,0.6,East,South
True,True,True,False,0.666667,0.555556,0.4,0.916667,0.5,0.5,0.125,0,Stop,Stop,Stop,Stop,0.875,0.384615,0.206897,0,0.4,0.285714,0.48,0.533333,South,South
True,True,True,False,0.666667,0.555556,0.4,0.916667,0.5,0.5,0.125,0,Stop,Stop,Stop,Stop,0.8125,0.423077,0.172414,0,0.35,0.284416,0.48,0.466667,South,South
True,True,True,False,0.666667,0.555556,0.4,0.916667,0.5,0.5,0.125,0,Stop,Stop,Stop,Stop,0.75,0.461538,0.137931,0,0.3,0.283117,0.48,0.4,South,South
True,True,True,False,0.666667,0.555556,0.4,0.916667,0.5,0.5,0.125,0,Stop,Stop,Stop,Stop,0.6875,0.5,0.103448,0,0.35,0.281818,0.48,0.333333,South,South
True,True,True,False,0.666667,0.555556,0.4,0.916667,0.5,0.5,0.125,0,Stop,Stop,Stop,Stop,0.625,0.538462,0.068966,0,0.4,0.280519,0.48,0.266667,South,South
True,True,False,False,0.666667,0.555556,0.4,0.916667,0.1,0,0.125,0,Stop,Stop,Stop,Stop,0.5625,0.576923,0,0,0.45,0.538961,0.48,0.2,South,West
