@relation 'stateData-weka.filters.unsupervised.attribute.Remove-R1,24-weka.filters.supervised.instance.Resample-B0.01-S1-Z100.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute living_ghost1 {True,False}
@attribute living_ghost2 {True,False}
@attribute living_ghost3 {True,False}
@attribute living_ghost4 {True,False}
@attribute ghost_posX1 numeric
@attribute ghost_posY1 numeric
@attribute ghost_posX2 numeric
@attribute ghost_posY2 numeric
@attribute ghost_posX3 numeric
@attribute ghost_posY3 numeric
@attribute ghost_posX4 numeric
@attribute ghost_posY4 numeric
@attribute ghost_dir1 {North,South,West,East,Stop}
@attribute ghost_dir2 {North,South,West,East,Stop}
@attribute ghost_dir3 {North,South,West,East,Stop}
@attribute ghost_dir4 {North,South,West,East,Stop}
@attribute ghost_dist1 numeric
@attribute ghost_dist2 numeric
@attribute ghost_dist3 numeric
@attribute ghost_dist4 numeric
@attribute dot_dist numeric
@attribute score numeric
@attribute pacman_posX numeric
@attribute pacman_posY numeric
@attribute pacman_dir {North,South,West,East,Stop}
@attribute pacman_action {North,South,West,East,Stop}

@data
False,False,True,True,0,0,0.2,0,0.583333,0.5,1,0.428571,Stop,Stop,Stop,Stop,0,0,0.4,0.527778,0,0.621311,0.4,0.533333,North,North
False,False,True,True,0,0,0.2,0,0.583333,0.5,1,0.428571,Stop,Stop,Stop,Stop,0,0,0.233333,0.444444,0,0.629508,0.4,0.2,North,North
False,False,True,True,0,0,0.2,0,0.083333,0.8,0.095238,0.357143,Stop,Stop,Stop,Stop,0,0,0.3,0.194444,0,0.654098,0.08,0,East,North
True,False,True,True,0.333333,0.181818,0.2,0,0.041667,0.6,0.095238,0.428571,West,Stop,East,West,0.157895,0,0.1,0.111111,0,0.332787,0.12,0.133333,East,North
False,False,True,False,0,0,0.2,0,0.083333,0.8,0.142857,0,Stop,Stop,Stop,Stop,0,0,0.166667,0,0,0.972131,0.2,0.2,East,North
False,True,True,True,0,0,0.8,0.538462,0.666667,0.3,0.809524,0.642857,Stop,North,East,East,0,0.115385,0.433333,0.472222,0,0.311475,0.32,0.2,East,North
True,True,True,True,0.888889,0.636364,0.2,0.846154,0.291667,0.3,0.428571,0.857143,West,North,West,South,0.526316,0.461538,0.433333,0.055556,0.470588,0.022951,0.52,0.6,East,North
False,True,False,False,0,0,0.4,0.846154,0.083333,0,0.142857,0,Stop,Stop,Stop,Stop,0,0.153846,0,0,0.823529,0.981967,0.2,0.466667,North,North
False,False,True,True,0,0,0.2,0,0.583333,0.5,1,0.428571,Stop,Stop,Stop,Stop,0,0,0.3,0.5,0,0.632787,0.4,0.066667,North,North
False,False,True,True,0,0,0.2,0,0.708333,0.2,0.809524,1,Stop,Stop,East,Stop,0,0,0.4,0.055556,0,0.604918,0.76,0.733333,East,North
False,True,True,True,0,0,0.9,0.538462,0.666667,0.2,0.809524,0.642857,Stop,East,South,East,0,0.115385,0.5,0.472222,0,0.309836,0.32,0.266667,North,North
True,False,False,False,0.555556,0.272727,0.2,0,0.083333,0,0.142857,0,Stop,Stop,Stop,Stop,0.368421,0,0,0,0,0.981967,0.4,0,West,North
False,False,True,True,0,0,0.2,0,0.083333,0.8,0.095238,0.357143,Stop,Stop,Stop,Stop,0,0,0.2,0.111111,0,0.64918,0.12,0.133333,East,North
False,False,True,True,0,0,0.2,0,0.083333,0.8,0.095238,0.357143,Stop,Stop,Stop,Stop,0,0,0.3,0.194444,0,0.654098,0.08,0,East,North
False,False,False,True,0,0,0.2,0,0.083333,0,0.142857,0.714286,Stop,Stop,Stop,West,0,0,0,0.166667,0.235294,0.986885,0.4,0.466667,North,North
True,False,True,True,0.555556,0.363636,0.2,0,0.208333,1,0.47619,0.357143,Stop,Stop,Stop,Stop,0.315789,0,0.133333,0.361111,0.529412,0.35082,0.2,0.466667,North,North
False,False,True,True,0,0,0.2,0,0.083333,0.8,0.095238,0.357143,Stop,Stop,Stop,Stop,0,0,0.266667,0.166667,0,0.652459,0.08,0.066667,North,North
False,False,True,True,0,0,0.2,0,0.708333,0.2,0.666667,0.928571,Stop,Stop,West,East,0,0,0.366667,0.083333,0,0.613115,0.72,0.6,East,North
False,True,True,True,0,0,0.8,0.538462,0.666667,0.3,0.809524,0.642857,Stop,North,East,East,0,0.115385,0.433333,0.472222,0,0.311475,0.32,0.2,East,North
True,True,False,False,0.777778,0.909091,0.7,0.923077,0.083333,0,0.142857,0,South,West,Stop,Stop,0.473684,0.423077,0,0,0.647059,0.647541,0.4,0.2,North,North
True,True,False,False,0.666667,0.818182,0.8,1,0.083333,0,0.142857,0,West,West,Stop,Stop,0.210526,0.230769,0,0,0.588235,0.639344,0.32,0.4,North,North
False,True,False,False,0,0,0.9,1,0.083333,0,0.142857,0,Stop,North,Stop,Stop,0,0.115385,0,0,0.823529,0.95082,0.32,0.666667,East,North
True,True,True,True,0.333333,0.818182,0.8,0.307692,0.625,0.2,0.952381,0.642857,East,South,South,South,0.157895,0.423077,0.733333,0.638889,0,0.008197,0.08,0.4,North,North
False,True,True,True,0,0,1,0.153846,0.583333,0.5,1,0.428571,Stop,Stop,Stop,Stop,0,0.076923,0.3,0.5,0,0.314754,0.4,0.066667,South,North
