@relation stateData-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute living_ghost1 {True,False}
@attribute living_ghost2 {True,False}
@attribute living_ghost3 {True,False}
@attribute living_ghost4 {True,False}
@attribute ghost_posX1 numeric
@attribute ghost_posY1 numeric
@attribute ghost_posX2 numeric
@attribute ghost_posY2 numeric
@attribute ghost_posX3 numeric
@attribute ghost_posY3 numeric
@attribute ghost_posX4 numeric
@attribute ghost_posY4 numeric
@attribute ghost_dir1 {North,South,West,East,Stop}
@attribute ghost_dir2 {North,South,West,East,Stop}
@attribute ghost_dir3 {North,South,West,East,Stop}
@attribute ghost_dir4 {North,South,West,East,Stop}
@attribute ghost_dist1 numeric
@attribute ghost_dist2 numeric
@attribute ghost_dist3 numeric
@attribute ghost_dist4 numeric
@attribute dot_dist numeric
@attribute score numeric
@attribute nextScore numeric
@attribute pacman_posX numeric
@attribute pacman_posY numeric
@attribute pacman_dir {North,South,West,East,Stop}
@attribute pacman_action {North,South,West,East,Stop}

@data
False,False,True,True,1,1,3,1,14,4,28,3,Stop,Stop,West,South,-1,-1,8,24,-1,357,356,11,9,North,North
False,False,True,True,1,1,3,1,8,11,14,6,Stop,Stop,Stop,Stop,-1,-1,9,16,12,376,375,1,9,North,North
False,True,False,False,1,1,3,13,5,1,7,1,Stop,West,Stop,Stop,-1,7,-1,-1,12,575,574,6,9,North,North
False,True,False,False,1,1,3,13,5,1,7,1,Stop,West,Stop,Stop,-1,7,-1,-1,12,575,574,6,9,North,North
True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,8,10,17,26,-1,-17,-18,2,4,North,North
False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,4,-1,-1,14,581,580,5,8,North,North
False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,-1,2,6,10,-1,191,190,7,5,North,North
False,True,True,True,1,1,7,6,18,4,27,6,Stop,West,West,East,-1,5,14,26,-1,175,174,4,4,North,North
False,True,False,True,1,1,5,6,5,1,12,6,Stop,West,Stop,West,-1,3,-1,5,-1,389,388,7,5,North,North
False,False,True,True,1,1,3,1,15,4,28,3,Stop,Stop,North,North,-1,-1,6,20,-1,360,359,11,6,North,North
True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,-1,12,10,Stop,North
False,False,True,True,1,1,3,1,5,9,6,6,Stop,Stop,Stop,Stop,-1,-1,8,6,-1,383,382,2,4,North,North
False,True,False,True,1,1,5,6,5,1,12,6,Stop,West,Stop,West,-1,3,-1,5,-1,389,388,7,5,North,North
False,False,True,True,1,1,3,1,5,9,6,6,Stop,Stop,Stop,Stop,-1,-1,7,5,-1,382,381,2,5,North,North
True,True,True,True,5,4,7,6,9,4,14,5,North,West,North,North,2,6,6,13,-1,-6,-7,4,3,South,North
False,False,False,True,1,1,3,1,5,1,18,11,Stop,Stop,Stop,West,-1,-1,-1,6,2,648,647,14,8,North,North
False,True,True,True,1,1,7,5,8,4,14,6,Stop,South,West,West,-1,4,4,11,-1,193,192,5,3,East,North
False,False,False,True,1,1,3,1,5,1,28,3,Stop,Stop,Stop,South,-1,-1,-1,8,-1,497,496,25,7,North,North
False,False,False,True,1,1,3,1,5,1,28,2,Stop,Stop,Stop,East,-1,-1,-1,11,-1,494,493,25,10,North,North
False,False,True,True,1,1,3,1,8,11,14,6,Stop,Stop,East,North,-1,-1,4,7,3,375,374,10,9,East,North
False,True,False,False,1,1,4,13,5,1,7,1,Stop,North,Stop,Stop,-1,8,-1,-1,14,577,576,6,7,North,North
False,False,False,True,1,1,3,1,5,1,28,3,Stop,Stop,Stop,South,-1,-1,-1,8,-1,497,496,25,7,North,North
True,True,True,True,5,6,4,12,12,6,13,12,Stop,West,West,East,12,9,5,3,8,-1,-2,12,11,North,North
False,False,True,True,1,1,3,1,5,9,6,6,Stop,Stop,Stop,Stop,-1,-1,7,5,-1,382,381,2,5,North,North
False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,9,16,-1,357,356,11,9,North,North
True,True,False,False,6,5,4,11,5,1,7,1,North,South,Stop,Stop,5,13,-1,-1,13,384,383,10,4,West,North
False,False,False,True,1,1,3,1,5,1,18,8,Stop,Stop,Stop,North,-1,-1,-1,14,11,657,656,10,3,South,North
False,False,True,True,1,1,3,1,18,6,28,3,Stop,Stop,East,North,-1,-1,14,27,-1,329,328,14,16,North,North
False,False,False,True,1,1,3,1,5,1,14,6,Stop,Stop,Stop,Stop,-1,-1,-1,7,11,657,656,10,3,South,North
False,False,False,True,1,1,3,1,5,1,17,11,Stop,Stop,Stop,East,-1,-1,-1,8,3,649,648,14,7,North,North
False,False,True,True,1,1,3,1,18,6,28,3,Stop,Stop,East,West,-1,-1,6,14,-1,341,340,14,4,North,North
False,False,True,True,1,1,3,1,3,9,5,10,Stop,Stop,West,West,-1,-1,4,6,-1,383,382,3,5,North,North
False,True,True,True,1,1,7,6,18,4,27,6,Stop,West,West,East,-1,5,14,26,-1,175,174,4,4,North,North
False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,4,-1,-1,12,579,578,6,9,East,North
False,False,True,True,1,1,3,1,5,9,6,6,Stop,Stop,Stop,Stop,-1,-1,7,5,-1,382,381,2,5,North,North
False,False,True,True,1,1,3,1,17,6,28,2,Stop,Stop,North,North,-1,-1,6,14,-1,342,341,14,3,East,North
