@relation stateData-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute living_ghost1 {True,False}
@attribute living_ghost2 {True,False}
@attribute living_ghost3 {True,False}
@attribute living_ghost4 {True,False}
@attribute ghost_posX1 numeric
@attribute ghost_posY1 numeric
@attribute ghost_posX2 numeric
@attribute ghost_posY2 numeric
@attribute ghost_posX3 numeric
@attribute ghost_posY3 numeric
@attribute ghost_posX4 numeric
@attribute ghost_posY4 numeric
@attribute ghost_dir1 {North,South,West,East,Stop}
@attribute ghost_dir2 {North,South,West,East,Stop}
@attribute ghost_dir3 {North,South,West,East,Stop}
@attribute ghost_dir4 {North,South,West,East,Stop}
@attribute ghost_dist1 numeric
@attribute ghost_dist2 numeric
@attribute ghost_dist3 numeric
@attribute ghost_dist4 numeric
@attribute dot_dist numeric
@attribute score numeric
@attribute nextScore numeric
@attribute pacman_posX numeric
@attribute pacman_posY numeric
@attribute pacman_dir {North,South,West,East,Stop}
@attribute pacman_action {North,South,West,East,Stop}

@data
False,False,True,True,0,0,0.2,0,0.55,0.3,1,0.181818,Stop,Stop,West,South,0,0,0.310345,0.694444,0,0.493473,0.391304,0.4,0.4,North,North
False,False,True,True,0,0,0.2,0,0.25,1,0.416667,0.454545,Stop,Stop,Stop,Stop,0,0,0.344828,0.472222,0.65,0.518277,0.410973,0,0.4,North,North
False,True,False,False,0,0,0.2,1,0.1,0,0.125,0,Stop,West,Stop,Stop,0,0.307692,0,0,0.65,0.778068,0.616977,0.2,0.4,North,North
False,True,False,False,0,0,0.2,1,0.1,0,0.125,0,Stop,West,Stop,Stop,0,0.307692,0,0,0.65,0.778068,0.616977,0.2,0.4,North,North
True,True,True,True,0.666667,1,1,0.166667,0.7,0.5,0.875,0.545455,Stop,Stop,Stop,Stop,0.5625,0.423077,0.62069,0.75,0,0.005222,0.004141,0.04,0.066667,North,North
False,True,False,False,0,0,0.4,0.916667,0.1,0,0.125,0,Stop,Stop,Stop,Stop,0,0.192308,0,0,0.75,0.785901,0.623188,0.16,0.333333,North,North
False,True,True,True,0,0,0.7,0.416667,0.4,0.2,0.5,0.454545,Stop,Stop,Stop,Stop,0,0.115385,0.241379,0.305556,0,0.276762,0.219462,0.24,0.133333,North,North
False,True,True,True,0,0,0.6,0.416667,0.75,0.3,0.958333,0.454545,Stop,West,West,East,0,0.230769,0.517241,0.75,0,0.255875,0.202899,0.12,0.066667,North,North
False,True,False,True,0,0,0.4,0.416667,0.1,0,0.333333,0.454545,Stop,West,Stop,West,0,0.153846,0,0.166667,0,0.535248,0.424431,0.24,0.133333,North,North
False,False,True,True,0,0,0.2,0,0.6,0.3,1,0.181818,Stop,Stop,North,North,0,0,0.241379,0.583333,0,0.497389,0.39441,0.4,0.2,North,North
True,True,True,True,0.666667,0.625,0.4,0.916667,0.5,0.5,0.375,1,Stop,Stop,Stop,Stop,0.75,0.384615,0.206897,0.111111,0.4,0.027415,0.021739,0.44,0.466667,Stop,North
False,False,True,True,0,0,0.2,0,0.1,0.8,0.083333,0.454545,Stop,Stop,Stop,Stop,0,0,0.310345,0.194444,0,0.527415,0.418219,0.04,0.066667,North,North
False,True,False,True,0,0,0.4,0.416667,0.1,0,0.333333,0.454545,Stop,West,Stop,West,0,0.153846,0,0.166667,0,0.535248,0.424431,0.24,0.133333,North,North
False,False,True,True,0,0,0.2,0,0.1,0.8,0.083333,0.454545,Stop,Stop,Stop,Stop,0,0,0.275862,0.166667,0,0.52611,0.417184,0.04,0.133333,North,North
True,True,True,True,0.666667,0.375,0.6,0.416667,0.3,0.3,0.416667,0.363636,North,West,North,North,0.1875,0.269231,0.241379,0.388889,0,0.019582,0.015528,0.12,0,South,North
False,False,False,True,0,0,0.2,0,0.1,0,0.583333,0.909091,Stop,Stop,Stop,West,0,0,0,0.194444,0.15,0.873368,0.692547,0.52,0.333333,North,North
False,True,True,True,0,0,0.6,0.333333,0.25,0.3,0.416667,0.454545,Stop,South,West,West,0,0.192308,0.172414,0.333333,0,0.279373,0.221532,0.16,0,East,North
False,False,False,True,0,0,0.2,0,0.1,0,1,0.181818,Stop,Stop,Stop,South,0,0,0,0.25,0,0.67624,0.536232,0.96,0.266667,North,North
False,False,False,True,0,0,0.2,0,0.1,0,1,0.090909,Stop,Stop,Stop,East,0,0,0,0.333333,0,0.672324,0.533126,0.96,0.466667,North,North
False,False,True,True,0,0,0.2,0,0.25,1,0.416667,0.454545,Stop,Stop,East,North,0,0,0.172414,0.222222,0.2,0.516971,0.409938,0.36,0.4,East,North
False,True,False,False,0,0,0.3,1,0.1,0,0.125,0,Stop,North,Stop,Stop,0,0.346154,0,0,0.75,0.780679,0.619048,0.2,0.266667,North,North
False,False,False,True,0,0,0.2,0,0.1,0,1,0.181818,Stop,Stop,Stop,South,0,0,0,0.25,0,0.67624,0.536232,0.96,0.266667,North,North
True,True,True,True,0.666667,0.625,0.3,0.916667,0.45,0.5,0.375,1,Stop,West,West,East,0.8125,0.384615,0.206897,0.111111,0.45,0.02611,0.020704,0.44,0.533333,North,North
False,False,True,True,0,0,0.2,0,0.1,0.8,0.083333,0.454545,Stop,Stop,Stop,Stop,0,0,0.275862,0.166667,0,0.52611,0.417184,0.04,0.133333,North,North
False,False,True,True,0,0,0.2,0,0.7,0.5,0.875,0.545455,Stop,Stop,Stop,Stop,0,0,0.344828,0.472222,0,0.493473,0.391304,0.4,0.4,North,North
True,True,False,False,0.833333,0.5,0.3,0.833333,0.1,0,0.125,0,North,South,Stop,Stop,0.375,0.538462,0,0,0.7,0.528721,0.419255,0.36,0.066667,West,North
False,False,False,True,0,0,0.2,0,0.1,0,0.583333,0.636364,Stop,Stop,Stop,North,0,0,0,0.416667,0.6,0.885117,0.701863,0.36,0,South,North
False,False,True,True,0,0,0.2,0,0.75,0.5,1,0.181818,Stop,Stop,East,North,0,0,0.517241,0.777778,0,0.456919,0.362319,0.52,0.866667,North,North
False,False,False,True,0,0,0.2,0,0.1,0,0.416667,0.454545,Stop,Stop,Stop,Stop,0,0,0,0.222222,0.6,0.885117,0.701863,0.36,0,South,North
False,False,False,True,0,0,0.2,0,0.1,0,0.541667,0.909091,Stop,Stop,Stop,East,0,0,0,0.25,0.2,0.874674,0.693582,0.52,0.266667,North,North
False,False,True,True,0,0,0.2,0,0.75,0.5,1,0.181818,Stop,Stop,East,West,0,0,0.241379,0.416667,0,0.472585,0.374741,0.52,0.066667,North,North
False,False,True,True,0,0,0.2,0,0,0.8,0.041667,0.818182,Stop,Stop,West,West,0,0,0.172414,0.194444,0,0.527415,0.418219,0.08,0.133333,North,North
False,True,True,True,0,0,0.6,0.416667,0.75,0.3,0.958333,0.454545,Stop,West,West,East,0,0.230769,0.517241,0.75,0,0.255875,0.202899,0.12,0.066667,North,North
False,True,False,False,0,0,0.4,0.916667,0.1,0,0.125,0,Stop,Stop,Stop,Stop,0,0.192308,0,0,0.65,0.78329,0.621118,0.2,0.4,East,North
False,False,True,True,0,0,0.2,0,0.1,0.8,0.083333,0.454545,Stop,Stop,Stop,Stop,0,0,0.275862,0.166667,0,0.52611,0.417184,0.04,0.133333,North,North
False,False,True,True,0,0,0.2,0,0.7,0.5,1,0.090909,Stop,Stop,North,North,0,0,0.241379,0.416667,0,0.47389,0.375776,0.52,0,East,North
False,True,False,False,0,0,0.4,0.916667,0.1,0,0.125,0,Stop,East,Stop,Stop,0,0.346154,0,0,0.85,0.78329,0.621118,0.2,0.133333,West,North
