@relation stateData-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute living_ghost1 {True,False}
@attribute living_ghost2 {True,False}
@attribute living_ghost3 {True,False}
@attribute living_ghost4 {True,False}
@attribute ghost_posX1 numeric
@attribute ghost_posY1 numeric
@attribute ghost_posX2 numeric
@attribute ghost_posY2 numeric
@attribute ghost_posX3 numeric
@attribute ghost_posY3 numeric
@attribute ghost_posX4 numeric
@attribute ghost_posY4 numeric
@attribute ghost_dir1 {North,South,West,East,Stop}
@attribute ghost_dir2 {North,South,West,East,Stop}
@attribute ghost_dir3 {North,South,West,East,Stop}
@attribute ghost_dir4 {North,South,West,East,Stop}
@attribute ghost_dist1 numeric
@attribute ghost_dist2 numeric
@attribute ghost_dist3 numeric
@attribute ghost_dist4 numeric
@attribute dot_dist numeric
@attribute score numeric
@attribute nextScore numeric
@attribute pacman_posX numeric
@attribute pacman_posY numeric
@attribute pacman_dir {North,South,West,East,Stop}
@attribute pacman_action {North,South,West,East,Stop}

@data
True,True,True,True,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.428571,0.785714,Stop,Stop,Stop,Stop,0.631579,0.384615,0.193548,0.111111,0.470588,0.040984,0.030151,0.44,0.466667,Stop,Stop
True,True,True,True,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.428571,0.785714,Stop,Stop,Stop,Stop,0.631579,0.384615,0.193548,0.111111,0.470588,0.039344,0.028894,0.44,0.466667,Stop,Stop
True,True,True,True,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.428571,0.785714,Stop,Stop,Stop,Stop,0.631579,0.384615,0.193548,0.111111,0.470588,0.037705,0.027638,0.44,0.466667,Stop,Stop
True,True,True,True,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.428571,0.785714,Stop,Stop,Stop,Stop,0.631579,0.384615,0.193548,0.111111,0.470588,0.036066,0.026382,0.44,0.466667,Stop,Stop
True,True,True,True,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.428571,0.785714,Stop,Stop,Stop,Stop,0.631579,0.384615,0.193548,0.111111,0.470588,0.034426,0.025126,0.44,0.466667,Stop,North
True,True,True,True,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.428571,0.785714,Stop,Stop,Stop,Stop,0.684211,0.346154,0.225806,0.083333,0.529412,0.032787,0.023869,0.44,0.533333,North,North
True,True,True,True,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.428571,0.785714,Stop,Stop,Stop,Stop,0.736842,0.307692,0.258065,0.055556,0.588235,0.031148,0.273869,0.44,0.6,North,East
True,True,True,False,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.142857,0,Stop,Stop,Stop,Stop,0.789474,0.346154,0.225806,0,0.529412,0.357377,0.272613,0.48,0.6,East,South
True,True,True,False,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.142857,0,Stop,Stop,Stop,Stop,0.736842,0.384615,0.193548,0,0.470588,0.355738,0.271357,0.48,0.533333,South,South
True,True,True,False,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.142857,0,Stop,Stop,Stop,Stop,0.684211,0.423077,0.16129,0,0.411765,0.354098,0.270101,0.48,0.466667,South,South
True,True,True,False,0.444444,0.454545,0.4,0.846154,0.416667,0.5,0.142857,0,Stop,Stop,Stop,Stop,0.631579,0.461538,0.129032,0,0.352941,0.352459,0.268844,0.48,0.4,South,South
